Beta,SNP_A,SNP_B,SNP_C
0.519327,M1T1,M1T2,M1T3
0.516496,N38,M0P1,M0P2
0.515778,N22,M0P1,M0P2
0.515272,M0P1,M0P2,M1T2
0.515198,N28,M0P1,M0P2
0.515153,N24,M0P1,M0P2
0.515149,N2,M0P1,M0P2
0.515147,N15,M0P1,M0P2
0.515122,N36,M0P1,M0P2
0.514939,N0,M0P1,M0P2
0.514902,N18,M0P1,M0P2
0.514743,M0P1,M0P2,M2Q1
0.514740,N26,M0P1,M0P2
0.514581,N3,M0P1,M0P2
0.514579,N29,M0P1,M0P2
0.514541,N31,M0P1,M0P2
0.514476,M0P1,M0P2,M2Q3
0.514462,M0P1,M0P2,M2Q2
0.514456,N25,M0P1,M0P2
0.514437,N11,M0P1,M0P2
0.514333,N39,M0P1,M0P2
0.514301,N20,M0P1,M0P2
0.514281,N8,M0P1,M0P2
0.514228,N34,M0P1,M0P2
0.514226,N7,M0P1,M0P2
0.514208,N19,M0P1,M0P2
0.514176,N4,M0P1,M0P2
0.514144,M0P1,M0P2,M1T1
0.514107,M0P1,M0P2,M1T3
0.514056,N16,M0P1,M0P2
0.514022,N17,M0P1,M0P2
0.513992,N32,M0P1,M0P2
0.513898,N30,M0P1,M0P2
0.513884,N9,M0P1,M0P2
0.513868,N37,M0P1,M0P2
0.513851,N33,M0P1,M0P2
0.513844,N40,M0P1,M0P2
0.513822,N6,M0P1,M0P2
0.513784,N27,M0P1,M0P2
0.513732,N10,M0P1,M0P2
0.513716,M0P1,M0P2,M2Q4
0.513641,N5,M0P1,M0P2
0.513445,N14,M0P1,M0P2
0.513401,N35,M0P1,M0P2
0.513392,N21,M0P1,M0P2
0.513352,N23,M0P1,M0P2
0.513211,N13,M0P1,M0P2
0.513099,N12,M0P1,M0P2
0.512657,N1,M0P1,M0P2
0.507351,N7,N36,M2Q3
0.507330,N31,M1T3,M2Q3
0.507239,N15,N18,M1T3
0.507209,N7,N18,M1T3
0.507188,N11,N18,M1T3
0.507103,N18,M0P2,M1T3
0.507030,N7,N31,N36
0.507027,N7,N31,M2Q3
0.507015,N18,N34,M1T3
0.506964,N18,M1T3,M2Q3
0.506949,N18,N33,M1T3
0.506935,N18,N24,M1T3
0.506925,N18,N31,M1T3
0.506918,N16,M1T2,M2Q2
0.506906,N18,M1T3,M2Q4
0.506898,N24,N31,M1T3
0.506881,N6,N18,M1T3
0.506736,N18,N35,M1T3
0.506700,N2,N11,N24
0.506672,N7,N30,N36
0.506647,N0,N18,M1T3
0.506554,N18,N20,M1T3
0.506534,N7,N31,M1T3
0.506477,N6,N11,N18
0.506463,N18,N26,M1T3
0.506458,N18,N29,M1T3
0.506451,N18,N39,M1T3
0.506445,N7,N36,M2Q1
0.506433,N7,N24,N36
0.506404,N3,N18,M1T3
0.506400,N7,N22,N36
0.506388,N26,N39,M1T3
0.506382,N31,M1T2,M2Q2
0.506368,N9,N18,M1T3
0.506364,N6,N7,M2Q1
0.506357,N18,N38,M1T3
0.506329,N6,N11,N22
0.506324,N24,N34,M2Q3
0.506291,N7,N33,N36
0.506275,N31,M2Q3,M2Q4
0.506266,N18,M1T1,M1T3
0.506259,N18,M1T2,M1T3
0.506240,N7,N36,M1T3
0.506231,N7,N33,M1T3
0.506194,N15,N31,M1T2
0.506191,N7,N31,N37
0.506161,N7,N18,N31
0.506156,N15,N24,N31
0.506154,N7,N9,N31
0.506151,N2,N9,N12
0.506138,N6,N11,M2Q1
0.506132,N18,N30,M1T3
0.506123,N4,N18,M1T3
0.506121,N7,N36,M2Q2
0.506117,N16,M1T2,M2Q1
0.506099,N7,N18,N35
0.506095,N16,M1T2,M1T3
0.506040,N18,N28,M1T3
0.506026,N6,N11,N31
0.506026,N15,M1T2,M2Q2
0.506019,N18,N31,M2Q3
0.505989,N13,N31,M2Q3
0.505986,N18,N36,M1T3
0.505981,N7,N22,M1T3
0.505972,N7,M1T3,M2Q3
0.505952,N19,N33,M1T3
0.505925,N18,N22,M1T3
0.505924,N11,N20,N22
0.505919,N7,N35,N36
0.505913,N7,N20,N36
0.505913,N2,N7,N36
0.505907,N0,N7,N36
0.505904,N6,N11,M1T3
0.505859,N18,N25,M1T3
0.505840,N18,N38,M2Q3
0.505837,N15,N33,M1T3
0.505834,N8,N18,M1T3
0.505832,N0,N7,M1T3
0.505825,N7,N15,N31
0.505818,N36,M1T1,M2Q3
0.505816,N31,N34,M2Q2
0.505812,N7,N15,N36
0.505804,N7,N31,M2Q1
0.505798,N6,N7,N11
0.505788,N0,N6,M1T3
0.505786,N3,N33,M1T3
0.505785,N11,N31,N36
0.505782,N7,N11,N36
0.505771,N6,N11,M2Q4
0.505763,N6,N34,M2Q2
0.505754,N2,M0P1,M2Q3
0.505745,N7,M1T3,M2Q4
0.505745,N14,N18,M1T3
0.505734,N18,M1T3,M2Q2
0.505730,N18,N20,N35
0.505728,N29,M0P1,M2Q4
0.505726,N6,N11,N20
0.505701,N17,N18,M1T3
0.505701,M1T3,M2Q3,M2Q4
0.505678,N11,N22,N31
0.505664,N12,N18,M1T3
0.505662,N7,N20,M1T3
0.505661,N0,N31,M1T3
0.505658,N6,N11,N34
0.505657,N36,M1T2,M2Q2
0.505653,N2,N31,M2Q3
0.505649,N11,N28,M2Q3
0.505641,N11,N18,N35
0.505636,N29,N36,M2Q1
0.505629,N3,N7,M1T3
0.505622,N14,N31,M1T3
0.505620,N18,N32,M1T3
0.505614,N7,N34,N36
0.505604,N3,N15,M1T3
0.505598,N18,N33,N36
0.505598,M1T2,M1T3,M2Q2
0.505597,N2,M1T2,M2Q2
0.505597,N22,N34,M1T3
0.505591,N2,N12,M1T1
0.505590,N15,N28,N31
0.505585,N2,N11,N12
0.505581,N3,M1T2,M1T3
0.505581,N15,N31,M1T3
0.505577,N4,N7,N36
0.505572,N7,M1T3,M2Q2
0.505570,N11,N24,N36
0.505567,N15,N34,M1T3
0.505557,N7,N18,N36
0.505556,N31,N38,M1T3
0.505548,N7,N36,N40
0.505547,N18,N37,M1T3
0.505534,N3,N31,M1T3
0.505531,N7,N23,M1T3
0.505526,N31,N33,M1T3
0.505526,N18,N20,N37
0.505522,N3,M1T1,M1T3
0.505514,N7,N19,N36
0.505511,N26,N31,M2Q3
0.505504,N7,N36,M1T1
0.505496,N24,N35,M1T3
0.505491,N16,N18,M1T3
0.505486,N16,N31,M2Q3
0.505480,N12,N34,M1T3
0.505471,N18,N36,M2Q3
0.505467,N26,M0P1,M2Q1
0.505465,N5,N18,M1T3
0.505464,N24,N34,M1T3
0.505456,N2,N18,M1T3
0.505456,N10,N18,M1T3
0.505451,N35,M1T2,M2Q2
0.505448,N7,N15,M1T3
0.505446,N18,N21,M1T3
0.505443,N3,M1T2,M2Q2
0.505439,N33,N36,N37
0.505439,N18,M1T2,M2Q2
